Smiles,EC50 (nM),values
CCOC(=O)Cc1coc2cc(Cl)c(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)cc12,5.2,1.0
CCOC(=O)CNC(=O)CCc1oc2ccc(Cl)c(Oc3ccncc3C(=O)N3CCN(C4CC4)c4ccccc43)c2c1C,30.0,1.0
CC(=O)c1cccc(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)c1,5.5,1.0
CC(C)(c1ccc(Cl)c(Cl)c1)c1cnc(SCCOCc2ccc(C#N)cc2)n1-c1ccc(F)cc1,67.5,1.0
C[C@H](C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)O,10500.0,0.0
O=C(O)c1ccc(COc2cc(Cl)c(CN3CSC[C@H]3C(=O)N3CCN(C4CC4)c4ccccc43)cc2Cl)cc1,31.62,1.0
CO[C@@H]1CC[C@@]2(C)[C@@H](C1)C[C@@H](O)[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCc3nn[nH]n3)CC[C@@H]12,3070.0,0.0
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,3000.0,0.0
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC/C(=N\O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1750.0,0.0
C=CCCC(=O)O/N=C1\CC[C@]2(C)[C@H]3CC[C@@H]4[C@H]5[C@H](C(=C)C)CC[C@]5(C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,7880.0,0.0
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@@]3(C)[C@]4(C)CC[C@H]5C(C)(C)/C(=N/OC(=O)C(C)C)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@@H]12,3650.0,0.0
O=C(c1cnccc1Oc1ccccc1Cl)N1CCN(C2CC2)c2ccccc21,27.0,1.0
O=C(c1cnccc1Oc1cc(Cl)ccc1Cl)N1CCN(C2CC2)c2ccccc21,18.0,1.0
O=C(c1cccnc1Oc1cc(Cl)ccc1Cl)N1CCCc2ccccc21,10.0,1.0
CCN1CCN(C(=O)c2cnccc2Oc2cc(Cl)ccc2Cl)c2ccccc21,3.1,1.0
Cc1cc(C)c(Oc2ccncc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1C,0.6,1.0
O=C([C@@H]1CCCN1Cc1cc(Cl)ccc1Cl)N1CCCc2ccccc21,2511.89,0.0
O=C([C@@H]1CCCCN1Cc1cc(Cl)ccc1Cl)N1CCN(C2CC2)c2ccccc21,1584.89,0.0
C[C@@]1(C(=O)N2CCN(C3CC3)c3ccccc32)CCCN1Cc1cc(Cl)ccc1Cl,1000.0,0.0
